cgpa,backlogs,college_tier,country,university_ranking_band,internship_count,aptitude_score,communication_score,specialization,industry,internship_quality_score,placement_status,salary,college_tier_score,univ_ranking_score
7.181967948,2,Tier 2,UK,100-300,2,90.0446722,80.5595148,Cloud,Healthcare,3.558239843,Placed,89160.17564,2,2
8.045714203,0,Tier 3,Germany,300+,1,54.1265098,77.19074635,Core CS,Finance,4.903513187,Placed,68812.39676,1,1
7.147707087,1,Tier 1,USA,300+,5,84.22173655,79.73643842,Data Science,Healthcare,4.702071,Placed,120000.0,3,1
7.207906235,1,Tier 2,India,100-300,3,78.6878249,71.59412207,AI/ML,Manufacturing,6.537837972,Placed,51834.38151,2,2
7.625458297,2,Tier 2,UK,100-300,1,80.1464912,63.59200787,Core CS,Consulting,7.334968538,Placed,92738.98209,2,2
6.010439431,1,Tier 3,Canada,Top 100,3,30.0,62.12447445,AI/ML,Consulting,3.781782327,Placed,85993.21472,1,3
7.417553252,2,Tier 2,Germany,100-300,1,77.82429811,51.20882782,Cloud,Finance,7.404460431,Placed,87503.91387,2,2
7.237587739,0,Tier 1,India,300+,1,92.80793847,59.16685803,Core CS,Finance,3.325928131,Placed,55682.77903,3,1
7.185802958,2,Tier 1,India,Top 100,1,93.60853909,33.265449,Cloud,Consulting,1.792997518,Placed,58383.86112,3,3
7.234457979,3,Tier 2,India,300+,3,54.22866567,44.64924275,Core CS,Tech,6.791952203,Placed,45818.46035,2,1
6.428518866,0,Tier 2,Canada,Top 100,3,83.03479885,60.33361553,Cybersecurity,Manufacturing,1.478011999,Placed,87031.38449,2,3
8.492619609,1,Tier 3,India,100-300,0,55.15058701,62.63307927,Cybersecurity,Tech,5.433393062,Placed,31719.83987,1,2
7.379066337,0,Tier 3,Canada,300+,2,34.75829329,50.93927213,Data Science,Manufacturing,5.594512925,Placed,88095.22645,1,1
7.525242887,2,Tier 3,UK,100-300,2,68.58660589,48.48683777,Core CS,Tech,6.851374385,Placed,87278.65406,1,2
6.220254664,4,Tier 3,USA,100-300,2,78.81896221,68.33876851,AI/ML,Finance,7.22724802,Placed,115696.3009,1,2
7.629667683,0,Tier 3,India,100-300,3,73.03829995,60.25019164,AI/ML,Finance,5.77780409,Placed,46706.37533,1,2
7.926876463,0,Tier 3,Germany,100-300,2,54.40912752,67.36439797,Cloud,Consulting,4.387359681,Placed,76353.67645,1,2
7.770700903,0,Tier 2,Germany,300+,1,87.1731805,58.26607235,Cloud,Tech,5.826287471,Placed,99411.083,2,1
7.330224742,1,Tier 2,Germany,300+,1,81.19320979,66.95657213,Cloud,Finance,5.459974187,Placed,88983.10866,2,1
7.657648128,1,Tier 2,Canada,300+,3,78.40048579,69.17032976,Data Science,Finance,4.480956637,Placed,100430.3785,2,1
8.517434386,0,Tier 2,USA,100-300,5,100.0,83.35600369,Data Science,Other,7.267166698,Placed,120000.0,2,2
6.803689507,2,Tier 3,Germany,100-300,0,78.45586251,74.49684786,AI/ML,Tech,4.358345407,Placed,85642.52258,1,2
6.397011069,2,Tier 3,UK,100-300,2,84.37559369,89.21010169,AI/ML,Other,4.640670446,Placed,82131.16928,1,2
6.347351772,1,Tier 2,UK,100-300,5,84.84482249,49.25365606,Cybersecurity,Tech,6.195360059,Placed,98537.61053,2,2
6.938318632,2,Tier 3,Germany,100-300,0,75.54560315,57.50502674,Data Science,Tech,8.273312207,Placed,95756.05685,1,2
7.27292158,3,Tier 1,USA,100-300,2,80.90946042,75.52032175,Cybersecurity,Consulting,6.882579532,Placed,120000.0,3,2
7.221352639,0,Tier 1,India,300+,1,73.36046772,55.35406352,Cloud,Healthcare,3.456111205,Placed,58227.85723,3,1
7.661746599,1,Tier 3,Germany,Top 100,1,82.64914335,82.34533617,Cybersecurity,Consulting,3.986454155,Placed,73760.01721,1,3
7.010401514,0,Tier 1,Germany,100-300,2,73.75631114,46.72039772,Cybersecurity,Tech,2.661802722,Placed,117823.5525,3,2
8.162827262,0,Tier 2,Canada,300+,1,72.92986466,48.24627007,Cloud,Tech,5.80669047,Placed,99951.03687,2,1
6.788274533,1,Tier 1,UK,Top 100,1,96.7571289,65.99757804,Data Science,Other,5.658501212,Placed,120000.0,3,3
9.176135333,0,Tier 1,India,300+,2,75.18042578,94.25046992,AI/ML,Finance,4.640184177,Placed,71906.88324,3,1
7.500533878,2,Tier 2,USA,100-300,1,94.73337245,73.39129004,Data Science,Finance,4.320595445,Placed,120000.0,2,2
7.571200395,0,Tier 2,UK,Top 100,0,61.67467024,38.86789548,Core CS,Healthcare,8.604471742,Placed,94359.19093,2,3
6.94173687,0,Tier 1,India,300+,3,39.87243059,85.7085793,Cybersecurity,Consulting,4.939906497,Placed,49882.74554,3,1
5.78812222,2,Tier 2,Canada,100-300,0,85.90806815,97.25771365,Core CS,Healthcare,3.880821902,Placed,78784.57945,2,2
7.685119035,0,Tier 3,India,300+,1,75.72736936,43.43645176,Data Science,Finance,4.795511945,Placed,52414.6867,1,1
6.003408977,0,Tier 2,USA,100-300,1,60.02411565,67.13573086,Cybersecurity,Healthcare,7.14707895,Placed,99386.82648,2,2
7.138544741,1,Tier 1,UK,Top 100,0,77.07588937,77.79837383,Core CS,Tech,3.860916547,Placed,120000.0,3,3
7.308253904,0,Tier 2,India,100-300,0,80.93827037,68.23712846,AI/ML,Finance,8.169935859,Placed,60565.90497,2,2
6.292914051,1,Tier 1,UK,Top 100,5,66.61949277,72.23278526,Core CS,Other,6.148925884,Placed,113352.6666,3,3
7.122980085,3,Tier 3,India,100-300,3,63.51345939,59.35423721,AI/ML,Finance,6.056660146,Placed,49303.90868,1,2
6.085623762,0,Tier 3,Canada,100-300,3,63.41768412,54.17700339,AI/ML,Healthcare,6.931614286,Placed,80457.45877,1,2
7.286229888,1,Tier 3,Germany,100-300,0,100.0,45.52032489,Cybersecurity,Manufacturing,8.67297788,Placed,58536.30642,1,2
7.448627621,1,Tier 2,UK,100-300,3,68.55214282,58.17927112,AI/ML,Manufacturing,3.613474505,Placed,100174.8886,2,2
7.866440995,1,Tier 2,USA,100-300,1,77.87920718,70.61421345,Data Science,Consulting,5.13741074,Placed,120000.0,2,2
5.897864506,2,Tier 1,Canada,100-300,1,99.4872481,70.67484302,Cybersecurity,Consulting,4.152394887,Placed,94963.10249,3,2
7.411028761,0,Tier 1,UK,100-300,2,57.38179649,87.63841263,Data Science,Tech,2.987059337,Placed,120000.0,3,2
7.412038149,0,Tier 3,USA,300+,1,83.54304747,67.48848372,Data Science,Manufacturing,6.203146835,Placed,101705.3151,1,1
10.0,1,Tier 1,India,100-300,0,72.87911277,62.21719535,Core CS,Other,7.038852333,Placed,64978.31155,3,2
7.456712409,1,Tier 1,India,100-300,4,84.73574894,76.44670816,Data Science,Consulting,3.762179851,Placed,57075.36983,3,2
7.908452512,1,Tier 2,Canada,300+,0,86.10297423,88.15292204,Data Science,Healthcare,5.308411092,Placed,108446.9887,2,1
7.521113001,1,Tier 2,USA,100-300,4,69.95635583,77.23159819,Cloud,Tech,5.339706428,Placed,120000.0,2,2
6.747784604,1,Tier 2,India,100-300,3,65.02880367,60.31602574,Cybersecurity,Manufacturing,7.699035515,Placed,44105.85438,2,2
7.607175376,1,Tier 1,Germany,100-300,0,77.27191953,89.75479041,Cloud,Finance,3.873963514,Placed,108988.222,3,2
6.381739828,0,Tier 2,UK,100-300,1,49.20668801,85.94579662,Cybersecurity,Finance,5.260098567,Placed,99424.33501,2,2
8.851726853,0,Tier 1,Canada,300+,0,65.47033196,66.09821171,AI/ML,Healthcare,6.448243554,Placed,120000.0,3,1
5.506187846,2,Tier 3,USA,100-300,2,77.12189333,94.23562718,AI/ML,Tech,3.759994322,Placed,104692.7365,1,2
7.549008152,0,Tier 3,Germany,100-300,4,88.85558465,86.04273811,AI/ML,Healthcare,3.453095278,Placed,75569.14066,1,2
6.622454507,0,Tier 1,USA,300+,2,65.51612197,62.29327811,Core CS,Consulting,4.900875233,Placed,120000.0,3,1
7.871160478,1,Tier 2,Canada,100-300,0,86.23042012,47.76835892,Core CS,Other,6.067040727,Placed,90866.31727,2,2
6.137804178,0,Tier 3,India,100-300,1,78.8867909,75.46894917,Data Science,Tech,5.845411381,Placed,42610.40759,1,2
7.543678199,1,Tier 1,USA,300+,1,86.07887466,58.27845932,Cloud,Healthcare,5.019793064,Placed,120000.0,3,1
7.173166872,1,Tier 1,UK,300+,0,80.73768767,68.46410134,AI/ML,Healthcare,4.847206047,Placed,120000.0,3,1
7.036457472,1,Tier 2,UK,300+,2,65.35672974,57.80644885,Data Science,Other,7.622015715,Placed,104485.1918,2,1
8.715155271,0,Tier 3,India,300+,0,71.0185961,85.41720055,Data Science,Consulting,8.517215846,Placed,48139.06281,1,1
7.507135218,1,Tier 2,UK,100-300,0,67.75856592,69.40843974,AI/ML,Finance,5.804438849,Placed,102929.9924,2,2
5.379885931,1,Tier 3,Canada,100-300,2,70.82520413,69.10405884,Data Science,Finance,6.011108653,Placed,80859.56257,1,2
7.149163452,0,Tier 1,UK,300+,2,73.54973578,59.76079171,Cybersecurity,Healthcare,6.11334094,Placed,109861.932,3,1
6.470570828,0,Tier 1,UK,100-300,4,87.4938611,64.62012241,Cloud,Consulting,6.091580221,Placed,100039.9552,3,2
7.681946668,2,Tier 2,UK,Top 100,3,59.6842456,72.98803698,Data Science,Other,5.69645853,Placed,117950.6943,2,3
6.908210847,0,Tier 1,USA,Top 100,0,70.38190964,68.15956008,Cybersecurity,Manufacturing,4.210485711,Placed,120000.0,3,3
7.403989823,2,Tier 2,UK,Top 100,1,69.26338436,58.24740666,Cybersecurity,Other,7.133041694,Placed,99167.02801,2,3
7.692604155,2,Tier 3,USA,300+,2,72.54291952,69.32793966,Data Science,Other,7.545829954,Placed,101393.0228,1,1
6.039762874,0,Tier 3,India,100-300,2,75.15223113,66.72314408,AI/ML,Manufacturing,5.304287998,Placed,41018.33865,1,2
6.732399011,0,Tier 2,USA,100-300,1,71.01204764,100.0,Cloud,Consulting,4.379761741,Placed,101234.7155,2,2
6.620043751,1,Tier 1,India,Top 100,1,58.33628696,61.79660757,Data Science,Consulting,3.076518501,Placed,61724.60306,3,3
8.412363392,0,Tier 2,India,100-300,2,93.03537074,76.70806221,Cybersecurity,Manufacturing,5.394784713,Placed,51627.5576,2,2
7.323985369,2,Tier 1,India,300+,1,70.45417731,69.29530704,Core CS,Other,4.128195223,Placed,61149.17587,3,1
5.991292837,1,Tier 1,Canada,Top 100,3,73.66639507,81.31999863,Cybersecurity,Finance,3.221377547,Placed,111503.0576,3,3
8.697724958,0,Tier 2,UK,100-300,0,56.65971581,60.0781745,Cybersecurity,Manufacturing,5.602101036,Placed,92285.96912,2,2
7.825972208,2,Tier 1,Germany,100-300,4,68.85954719,72.6362287,AI/ML,Other,5.972718568,Placed,115837.4903,3,2
6.612612742,1,Tier 3,India,100-300,2,82.49392615,76.18686142,Data Science,Finance,9.696876119,Placed,41839.55475,1,2
8.013528919,0,Tier 2,Germany,300+,3,81.8902478,58.66012745,AI/ML,Consulting,6.396389206,Placed,102549.6347,2,1
7.619707243,0,Tier 2,India,300+,1,48.60142301,40.50167985,Cybersecurity,Manufacturing,3.099822121,Placed,46795.31227,2,1
6.258455623,2,Tier 1,Germany,100-300,5,91.76775608,66.0888846,AI/ML,Finance,4.144691389,Placed,120000.0,3,2
6.952379715,2,Tier 2,Germany,100-300,1,77.94487887,53.73037533,AI/ML,Other,7.670874499,Placed,100457.3192,2,2
6.180489887,0,Tier 2,Germany,Top 100,2,59.30164849,66.58249199,Data Science,Tech,4.878481046,Placed,108298.5855,2,3
6.797945479,0,Tier 2,India,100-300,2,65.27457578,55.86796282,Cybersecurity,Other,5.01262626,Placed,48538.78621,2,2
8.305929043,0,Tier 3,India,100-300,2,70.53874364,91.59867759,Data Science,Healthcare,6.210142436,Placed,47793.00734,1,2
7.104592462,0,Tier 1,Germany,100-300,4,97.97113381,71.38260626,Core CS,Other,1.677836479,Placed,106656.0704,3,2
8.153018631,0,Tier 2,India,300+,0,70.19207112,50.76410374,Cloud,Other,4.758530885,Placed,46791.75008,2,1
7.930531002,0,Tier 1,India,Top 100,1,50.44657861,48.0097595,Data Science,Healthcare,5.538139681,Placed,63245.44692,3,3
7.008186449,1,Tier 2,UK,100-300,1,56.68801773,76.64586682,Cybersecurity,Tech,3.98153387,Placed,104010.8689,2,2
6.214793079,0,Tier 1,UK,Top 100,2,88.36695744,55.62299983,AI/ML,Finance,2.65366346,Placed,120000.0,3,3
7.369682779,1,Tier 3,Germany,100-300,2,46.62968546,64.90853812,Data Science,Other,6.261883798,Placed,82324.63022,1,2
7.159247756,2,Tier 3,Germany,300+,1,51.54531687,81.23991139,Cybersecurity,Healthcare,4.568538017,Placed,66259.98418,1,1
7.52970454,2,Tier 3,Canada,100-300,2,62.0058372,48.50008829,Core CS,Tech,5.632643051,Placed,95139.54073,1,2
8.268813453,1,Tier 2,UK,300+,4,61.02888347,57.65285823,AI/ML,Consulting,4.764816473,Placed,104827.8167,2,1
6.009747601,1,Tier 2,Germany,300+,3,69.04375359,69.59144538,Data Science,Tech,3.896092978,Placed,98038.61173,2,1
8.7064267,2,Tier 1,USA,300+,2,57.85250748,94.84556281,Data Science,Finance,5.233575278,Placed,120000.0,3,1
5.43832976,1,Tier 3,Germany,100-300,0,74.46718025,68.78003345,Cloud,Finance,5.074081641,Placed,65584.01167,1,2
6.878571924,0,Tier 2,UK,300+,5,89.44853833,62.93632886,Cybersecurity,Consulting,5.491815768,Placed,89584.49986,2,1
7.224793494,1,Tier 3,UK,300+,4,46.50045723,95.25418962,Cybersecurity,Manufacturing,6.299599071,Placed,72979.06997,1,1
6.501840384,1,Tier 2,USA,300+,1,55.01430888,78.79954071,Cybersecurity,Healthcare,5.020957959,Placed,104682.1992,2,1
6.8335022,2,Tier 1,India,100-300,1,77.843273,48.72760083,Data Science,Consulting,7.539188287,Placed,63270.77145,3,2
6.528508194,1,Tier 1,USA,100-300,2,73.82241303,47.09745941,Cybersecurity,Tech,3.74332692,Placed,120000.0,3,2
7.679681678,2,Tier 3,Germany,100-300,0,93.02579014,67.48998734,Cybersecurity,Tech,5.706072069,Placed,75979.50463,1,2
7.285612389,3,Tier 1,India,Top 100,5,100.0,66.22491181,Core CS,Consulting,5.888462532,Placed,60133.29917,3,3
6.445672324,1,Tier 2,Germany,300+,2,82.1406158,68.26675474,AI/ML,Tech,5.973461405,Placed,92354.014,2,1
7.503703074,2,Tier 3,India,300+,0,96.92233735,62.08008329,AI/ML,Consulting,5.002916156,Placed,46511.05504,1,1
6.336803991,1,Tier 3,USA,Top 100,0,67.18484359,70.22798791,Cybersecurity,Finance,1.654736031,Placed,105650.2449,1,3
6.551855168,1,Tier 3,India,Top 100,1,78.04045517,74.92888561,AI/ML,Healthcare,4.451672872,Placed,46393.06381,1,3
7.597834884,1,Tier 1,USA,100-300,3,80.95304626,65.80554524,Data Science,Other,6.292144891,Placed,120000.0,3,2
7.488296212,1,Tier 1,Germany,300+,2,83.51684099,47.38516712,Core CS,Finance,3.541332687,Placed,108126.3551,3,1
6.983278725,2,Tier 1,UK,300+,2,87.40562563,50.11114793,Cybersecurity,Finance,3.369893227,Placed,111627.3333,3,1
8.022131917,1,Tier 3,USA,300+,2,80.97681207,51.922962,Core CS,Manufacturing,5.465575843,Placed,99225.88708,1,1
6.838245878,1,Tier 2,Germany,Top 100,1,56.09399113,79.04069855,AI/ML,Consulting,6.168786302,Placed,106435.022,2,3
6.825855037,1,Tier 1,Canada,Top 100,3,58.07173322,56.42161599,Cybersecurity,Healthcare,4.969364791,Placed,106706.0535,3,3
7.660333079,1,Tier 1,USA,300+,3,79.27082167,74.96807097,AI/ML,Consulting,6.978592625,Placed,120000.0,3,1
7.650807709,1,Tier 2,India,100-300,0,49.11670105,43.9223096,Core CS,Tech,4.918077044,Placed,53897.65205,2,2
8.044383046,0,Tier 2,Germany,100-300,2,71.15426806,47.48415722,Cloud,Consulting,3.950584648,Placed,91045.7905,2,2
7.016803073,2,Tier 2,Germany,100-300,3,95.03964944,77.07786685,Cloud,Tech,4.723219956,Placed,95365.94921,2,2
7.545562377,1,Tier 1,UK,300+,1,100.0,55.81362773,Cloud,Healthcare,3.176903722,Placed,114945.6252,3,1
6.751786595,2,Tier 1,India,100-300,3,71.79379082,91.99421326,Data Science,Consulting,4.939996879,Placed,71061.63611,3,2
7.259333082,0,Tier 3,Canada,300+,1,65.49054746,44.36943995,Core CS,Tech,5.900436828,Placed,76796.33472,1,1
